t,tau,S_star,S_star_raw,K_minus_S_star,dS
0.08218749999999997,0.9178125,81.25453203426183,81.25,18.74546796573817,0.125
0.08250000000000002,0.9175,81.25616995682154,81.25,18.743830043178463,0.125
0.08281249999999996,0.9171875,81.25783834050931,81.25,18.74216165949069,0.125
0.083125,0.916875,81.25953812210665,81.25,18.740461877893352,0.125
0.08343749999999994,0.9165625000000001,81.26127028472771,81.25,18.738729715272285,0.125
0.08374999999999999,0.91625,81.26303586150743,81.25,18.736964138492567,0.125
0.08406249999999993,0.9159375000000001,81.2648359396658,81.25,18.7351640603342,0.125
0.08437499999999998,0.915625,81.26667166518325,81.25,18.733328334816747,0.125
0.08468750000000003,0.9153125,81.26854424788351,81.25,18.73145575211649,0.125
0.08499999999999996,0.915,81.2704549674578,81.25,18.729545032542205,0.125
0.08531250000000001,0.9146875,81.27240517992581,81.25,18.727594820074188,0.125
0.08562499999999995,0.914375,81.27439632561334,81.25,18.72560367438666,0.125
0.0859375,0.9140625,81.27642993740471,81.25,18.723570062595286,0.125
0.08624999999999994,0.9137500000000001,81.27850765165735,81.25,18.72149234834265,0.125
0.08656249999999999,0.9134375,81.28063121879659,81.25,18.719368781203414,0.125
0.08687500000000004,0.913125,81.2828025188693,81.25,18.717197481130697,0.125
0.08718749999999997,0.9128125,81.28502357495735,81.25,18.71497642504265,0.125
0.08750000000000002,0.9125,81.28729657669403,81.25,18.712703423305967,0.125
0.08781249999999996,0.9121875,81.28962389639838,81.25,18.710376103601618,0.125
0.08812500000000001,0.911875,81.29200812724541,81.25,18.70799187275459,0.125
0.08843749999999995,0.9115625,81.29445210008363,81.25,18.70554789991637,0.125
0.08875,0.91125,81.29695895079078,81.25,18.70304104920922,0.125
0.08906249999999993,0.9109375000000001,81.29953212932121,81.25,18.700467870678793,0.125
0.08937499999999998,0.910625,81.30217552989636,81.25,18.69782447010364,0.125
0.08968750000000003,0.9103125,81.3048934652707,81.25,18.695106534729305,0.125
0.08999999999999997,0.91,81.30769094168176,81.25,18.692309058318244,0.125
0.09031250000000002,0.9096875,81.31057351719994,81.25,18.68942648280006,0.125
0.09062499999999996,0.909375,81.31354793314188,81.25,18.686452066858124,0.125
